n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,category
0.09077069908380508,0.38246479630470276,0.2334255576133728,0.19695639610290527,0.008651740849018097,0.11757884919643402,0.3556458055973053,1.5131336450576782,0.25624579191207886,0.10150215029716492,0.1384512484073639,0.21884863078594208,0.3490845561027527,1.6734511852264404,0.01271532941609621,1
0.011295583099126816,0.46766382455825806,0.06212737783789635,0.20599700510501862,0.026932507753372192,0.2815694212913513,0.1169806569814682,0.5571041703224182,0.5327647924423218,0.14051157236099243,0.10172442346811295,0.21411444246768951,0.2304670512676239,1.347452163696289,0.07615119963884354,0
0.03153953328728676,0.44484037160873413,0.3477575480937958,0.37767887115478516,0.01034525129944086,0.1375400274991989,0.5159018039703369,0.6264424920082092,0.5816026329994202,0.09221769869327545,0.05077921599149704,0.0018847009632736444,0.5599647760391235,1.0964467525482178,0.011651980690658092,0
0.21821531653404236,0.5386834144592285,0.2833392918109894,0.309556782245636,0.04965977370738983,0.14980024099349976,0.2567210793495178,0.9373087286949158,0.5975081324577332,0.2695031762123108,0.08635535091161728,0.042829155921936035,0.7601150274276733,1.6105129718780518,0.0798729956150055,1
0.03584368899464607,0.4323846995830536,0.14835694432258606,0.23229381442070007,0.10339273512363434,0.0085517643019557,0.08534324169158936,0.8581371903419495,0.5599313974380493,0.0643220767378807,0.12688404321670532,0.13607054948806763,0.557272732257843,1.1598149538040161,0.19199545681476593,1
0.0014737218152731657,0.5064772367477417,0.3550351858139038,0.5694166421890259,0.0014484267449006438,0.12477297335863113,0.121571846306324,0.3537254333496094,0.5591094493865967,0.05124277248978615,0.0849512591958046,0.24387337267398834,0.4716302752494812,1.034641146659851,0.010677293874323368,0
0.011228217743337154,0.7960911989212036,0.055296193808317184,0.5259087681770325,0.03404645249247551,0.3816661536693573,0.20127145946025848,0.6570591330528259,0.8450608849525452,0.29226401448249817,0.07022497057914734,0.004815811291337013,0.43406346440315247,1.3642871379852295,0.002502556424587965,0
0.1454523503780365,0.40883708000183105,0.05019759759306908,0.2742743492126465,0.029854655265808105,0.05402347818017006,0.11588650196790695,1.4677098989486694,0.5147214531898499,0.10986323654651642,0.06571896374225616,0.37434351444244385,0.29952457547187805,1.4368689060211182,0.017505135387182236,1
0.07498078048229218,0.49206894636154175,0.35017165541648865,0.16370847821235657,0.0297231487929821,0.21364842355251312,0.23457418382167816,1.3409334421157837,0.1633126586675644,0.08809264749288559,0.09205034375190735,0.5610846281051636,0.5212541818618774,0.9624356627464294,0.050620198249816895,1
0.051514532417058945,0.3667600750923157,0.2607862651348114,0.438082754611969,0.015373552218079567,0.21816131472587585,0.5441713333129883,0.28584545850753784,0.5663488507270813,0.20036964118480682,0.13842898607254028,0.014015717431902885,0.7385091185569763,0.9131006598472595,0.0032155173830688,0
0.02545161359012127,0.22571435570716858,0.2729576826095581,0.18955384194850922,0.03850577771663666,0.19415943324565887,0.0531916581094265,0.17999684810638428,0.4472540020942688,0.18342134356498718,0.024690356105566025,0.17767246067523956,0.2746812403202057,0.5025414824485779,0.011810163967311382,0
0.019395694136619568,0.5802962183952332,0.03548934683203697,0.31864163279533386,0.0024522184394299984,0.01755758933722973,0.14018404483795166,0.8516238927841187,0.7013300061225891,0.255319744348526,0.09377427399158478,0.05335564166307449,0.7455056309700012,1.3139292001724243,0.06869067996740341,0
